ThreadID: 13, Smelter: 1, Transporter: 0, Constructor: 0, Action: SMELTER_CREATED, TimeStamp: 17.550890 ms.
ThreadID: 15, Smelter: 0, Transporter: 1, Constructor: 0, Action: TRANSPORTER_CREATED, TimeStamp: 20.935227 ms.
ThreadID: 14, Smelter: 0, Transporter: 0, Constructor: 1, Action: CONSTRUCTOR_CREATED, TimeStamp: 21.271121 ms.
ThreadID: 13, Smelter: 1, Transporter: 0, Constructor: 0, Action: SMELTER_STARTED, TimeStamp: 21.826171 ms.
ThreadID: 13, Smelter: 1, Transporter: 0, Constructor: 0, Action: SMELTER_FINISHED, TimeStamp: 43.266477 ms.
ThreadID: 15, Smelter: 1, Transporter: 1, Constructor: 0, Action: TRANSPORTER_TRAVEL, TimeStamp: 43.718125 ms.
ThreadID: 15, Smelter: 1, Transporter: 1, Constructor: 0, Action: TRANSPORTER_TAKE_INGOT, TimeStamp: 54.558343 ms.
ThreadID: 13, Smelter: 1, Transporter: 0, Constructor: 0, Action: SMELTER_STARTED, TimeStamp: 63.906811 ms.
ThreadID: 15, Smelter: 0, Transporter: 1, Constructor: 1, Action: TRANSPORTER_TRAVEL, TimeStamp: 65.123697 ms.
ThreadID: 15, Smelter: 0, Transporter: 1, Constructor: 1, Action: TRANSPORTER_DROP_INGOT, TimeStamp: 75.709387 ms.
ThreadID: 13, Smelter: 1, Transporter: 0, Constructor: 0, Action: SMELTER_FINISHED, TimeStamp: 84.516136 ms.
ThreadID: 15, Smelter: 1, Transporter: 1, Constructor: 0, Action: TRANSPORTER_TRAVEL, TimeStamp: 87.342155 ms.
ThreadID: 15, Smelter: 1, Transporter: 1, Constructor: 0, Action: TRANSPORTER_TAKE_INGOT, TimeStamp: 98.537514 ms.
ThreadID: 13, Smelter: 1, Transporter: 0, Constructor: 0, Action: SMELTER_STARTED, TimeStamp: 105.688330 ms.
ThreadID: 15, Smelter: 0, Transporter: 1, Constructor: 1, Action: TRANSPORTER_TRAVEL, TimeStamp: 109.700308 ms.
ThreadID: 15, Smelter: 0, Transporter: 1, Constructor: 1, Action: TRANSPORTER_DROP_INGOT, TimeStamp: 120.845675 ms.
ThreadID: 13, Smelter: 1, Transporter: 0, Constructor: 0, Action: SMELTER_FINISHED, TimeStamp: 126.785203 ms.
ThreadID: 15, Smelter: 1, Transporter: 1, Constructor: 0, Action: TRANSPORTER_TRAVEL, TimeStamp: 132.154302 ms.
ThreadID: 14, Smelter: 0, Transporter: 0, Constructor: 1, Action: CONSTRUCTOR_STARTED, TimeStamp: 133.285822 ms.
ThreadID: 15, Smelter: 1, Transporter: 1, Constructor: 0, Action: TRANSPORTER_TAKE_INGOT, TimeStamp: 143.512100 ms.
ThreadID: 14, Smelter: 0, Transporter: 0, Constructor: 1, Action: CONSTRUCTOR_FINISHED, TimeStamp: 145.090603 ms.
